date,country,category,rim_diameter,sales
2019-02-01,7c099db665,44bd7ae60f,20,20016.0
2019-02-01,7c099db665,44bd7ae60f,21,250.0
2019-02-01,7c099db665,44bd7ae60f,22,0.0
2019-02-01,7c099db665,d974f028af,12,0.0
2019-02-01,7c099db665,d974f028af,14,29967.0
2019-02-01,7c099db665,d974f028af,15,322864.0
2019-02-01,7c099db665,d974f028af,16,920069.0
2019-02-01,7c099db665,d974f028af,17,2023481.0
2019-02-01,7c099db665,d974f028af,18,1307782.0
2019-02-01,7c099db665,d974f028af,19,333909.0
2019-02-01,7c099db665,d974f028af,20,949480.0
2019-02-01,7c099db665,d974f028af,21,26820.0
2019-02-01,7c099db665,d974f028af,22,134529.0
2019-02-01,7c099db665,d974f028af,23,387.0
2019-02-01,7c099db665,d974f028af,24,9359.0
2019-02-01,7c099db665,d974f028af,26,187.0
2019-02-01,7c099db665,d974f028af,28,0.0
2019-02-01,7c099db665,de5a6f7811,13,185.0
2019-02-01,7c099db665,de5a6f7811,14,83.0
2019-02-01,7c099db665,de5a6f7811,15,36130.0
2019-02-01,7c099db665,de5a6f7811,16,318039.0
2019-02-01,7c099db665,de5a6f7811,17,947945.0
2019-02-01,7c099db665,de5a6f7811,18,327324.0
2019-02-01,7c099db665,de5a6f7811,19,95576.0
2019-02-01,7c099db665,de5a6f7811,20,46835.0
2019-02-01,7c099db665,de5a6f7811,21,266.0
2019-02-01,7c099db665,de5a6f7811,22,2568.0
2019-02-01,7c099db665,a7e721a9ec,13,17.0
2019-02-01,7c099db665,a7e721a9ec,14,420.0
2019-02-01,7c099db665,a7e721a9ec,15,835.0
2019-02-01,7c099db665,a7e721a9ec,16,3279.0
2019-02-01,7c099db665,a7e721a9ec,17,3529.0
2019-02-01,7c099db665,a7e721a9ec,18,5224.0
2019-02-01,7c099db665,a7e721a9ec,19,1053.0
2019-02-01,7c099db665,a7e721a9ec,20,1546.0
2019-02-01,7c099db665,a7e721a9ec,21,288.0
2019-02-01,7c099db665,a7e721a9ec,22,97.0
2019-02-01,7c099db665,a7e721a9ec,23,0.0
2019-02-01,7c099db665,bbeebd879e,13,0.0
2019-02-01,7c099db665,bbeebd879e,14,0.0
2019-02-01,7c099db665,bbeebd879e,15,4486.0
2019-02-01,7c099db665,bbeebd879e,16,44168.0
2019-02-01,7c099db665,bbeebd879e,17,475177.0
2019-02-01,7c099db665,bbeebd879e,18,485720.0
2019-02-01,7c099db665,bbeebd879e,19,241639.0
2019-02-01,7c099db665,bbeebd879e,20,152138.0
2019-02-01,7c099db665,bbeebd879e,21,13072.0
2019-02-01,7c099db665,bbeebd879e,22,5981.0
2019-02-01,7c099db665,bbeebd879e,23,0.0
2019-02-01,7c099db665,bbeebd879e,24,598.0
2019-03-01,010885e44f,00c2ae96f6,13,0.0
2019-03-01,010885e44f,00c2ae96f6,14,146.0
2019-03-01,010885e44f,00c2ae96f6,15,1871.0
2019-03-01,010885e44f,00c2ae96f6,16,47687.0
2019-03-01,010885e44f,00c2ae96f6,17,35604.0
2019-03-01,010885e44f,00c2ae96f6,18,28762.0
2019-03-01,010885e44f,00c2ae96f6,19,230.0
2019-03-01,010885e44f,00c2ae96f6,20,26484.0
2019-03-01,010885e44f,00c2ae96f6,22,563.0
2019-03-01,010885e44f,00c2ae96f6,24,12.0
2019-03-01,010885e44f,badf24e062,12,62.0
2019-03-01,010885e44f,badf24e062,13,1328.0
2019-03-01,010885e44f,badf24e062,14,34041.0
2019-03-01,010885e44f,badf24e062,15,60453.0
2019-03-01,010885e44f,badf24e062,16,68884.0
2019-03-01,010885e44f,badf24e062,17,20787.0
2019-03-01,010885e44f,badf24e062,18,4849.0
